name,url,slogan,rate
O'Neill & Associates,/profile/oneill-associates,PR and Lobbying Firm in Boston," $100 - $149 / hr
"
BMF Media,/profile/bmf-media,We are Cultural Engineers., Undisclosed 
Admerasia,/profile/admerasia,Full-Service Agency & A Lot More., Undisclosed 
Evoke Marketing,/profile/evoke-marketing,Lifestyle PR for Modern Brands," $25 - $49 / hr
"
Indicate Media,/profile/indicate-media,Digital Public Relations, Undisclosed 
"Coburn Communication, Inc.",/profile/coburn-communication,Creative communications firm based in New York," $150 - $199 / hr
"
Carmichael Lynch Relate,/profile/carmichael-lynch-relate,2019 Creative Agency of the Year Honoree, Undisclosed 
Zlokower Company,/profile/zlokower-company,A Leading Practitioner of Public Relations, Undisclosed 
Working Media Group,/profile/working-media-group,In effect transforming clients’ businesses," $100 - $149 / hr
"
INK Communications Co.,/profile/ink-communications-co,Marketing Communications for B2B Tech Brands, Undisclosed 
HeraldPR,/profile/heraldpr,Public Relations & Digital Marketing Firm, Undisclosed 
PRECISION STRATEGIES,/profile/precision-strategies,Target. Brand. Organize., Undisclosed 
Human Impact Solutions,/profile/human-impact-solutions,Building Influence Through Creative Ideas, Undisclosed 
Butler Associates Pubilc Relations,/profile/butler-associates-pubilc-relations,Strategic Communications, Undisclosed 
The Decker/Royal Agency,/profile/deckerroyal-agency,AN INTEGRATED COMMUNICATIONS WORKSHOP, Undisclosed 
21C Media Group,/profile/21c-media-group,Publicity. Digital Media. Consulting.," $100 - $149 / hr
"
Gourmet Marketing,/profile/gourmet-marketing,Hospitality Marketing Agency., Undisclosed 
Cramer-Krasselt,/profile/cramer-krasselt,"Make Friends, Not Ads", Undisclosed 
Text100,/profile/text100,We know technology and how it changes lives.," $150 - $199 / hr
"
We Are BMF,/profile/we-are-bmf,"Integrated experiential agency, made to inspire.", Undisclosed 
Watershed Communications,/profile/watershed-communications,Building Brands in the Artisan Economy," $100 - $149 / hr
"
FischTank,/profile/fischtank,Public Relations & Communications in New York, Undisclosed 
LeadDog Marketing Group,/profile/leaddog-marketing-group,Marketing Group, Undisclosed 
Goodman Media,/profile/goodman-media,PASSIONATE. RESULTS-DRIVEN. EXPERIENCED.," $100 - $149 / hr
"
Solomon McCown,/profile/solomon-mccown,WE CRAFT SOLID BRAND NARRATIVES," $100 - $149 / hr
"
Fenton,/profile/fenton,The social change agency.," $100 - $149 / hr
"
The Brand Guild,/profile/brand-guild,"For brands with a why, we're the how.", Undisclosed 
BENAMOR,/profile/benamor,“Making Hearts Beat!”," $300+ / hr
"
"PriMedia, Inc.",/profile/primedia,Marketing · Advertising · New Media · Publishing, Undisclosed 
Bullfrog + Baum,/profile/bullfrog-baum,Change: Embrace it. Exploit It. Enjoy it.," $100 - $149 / hr
"
Flying Point Digital,/profile/flying-point-digital,New York Digital Agency," $25 - $49 / hr
"
Arrow Promotional,/profile/arrow-promotional,New York Promotions Agency," $100 - $149 / hr
"
Relevance International,/profile/relevance-international,Public Relations and Brand Building Agency, Undisclosed 
"Brigade Marketing, LLC",/profile/brigade-marketing,Full-Service Digital Marketing Agency., Undisclosed 
EP+Co,/profile/epco,Unthink Everything, Undisclosed 
MayDay,/profile/mayday,Making Everything Better," $100 - $149 / hr
"
PR4Lawyers,/profile/pr4lawyers,Higher Standards in Attorney Marketing," $50 - $99 / hr
"
Broadstreet,/profile/broadstreet,Provoke. Collaborate. Lead., Undisclosed 
VP+C,/profile/vpc,Integrated marketing agency, Undisclosed 
Colour,/profile/colour,Creative | Digital for a Connected Culture, Undisclosed 
L.E.R. Public Relations,/profile/ler-public-relations,"Luxury lifestyle, fashion, beauty & travel PR firm", Undisclosed 
"Coaction Public Relations, Inc.",/profile/coaction-public-relations,Public Relations, Undisclosed 
Matlock Advertising & PR,/profile/matlock-advertising-pr,Atlanta Advertising & PR Agency," $150 - $199 / hr
"
Allied Experiential,/profile/allied-experiential,Full-service event marketing., Undisclosed 
Techwood Digital,/profile/techwood-digital,"Better Traffic, Better Results.", Undisclosed 
Jonesworks,/profile/jonesworks,"Marketing, Communications, & Management", Undisclosed 
"Creative Concepts (Fairfield, Connecticut)",/profile/creative-concepts-fairfield-connecticut,"Digital, Public Relations & Marketing Consultancy", Undisclosed 
Fluent360,/profile/fluent360,Culture Articulated," $100 - $149 / hr
"
GRADIENT Experiential,/profile/gradient-experiential,The Agency for the Experience Generation., Undisclosed 
City Eventions,/profile/city-eventions,We are an established experiential marketing firm., Undisclosed 
MATTIO Communications,/profile/mattio-communications,Full-Service Boutique Public Relations Agency, Undisclosed 
NOISE,/profile/noise,We blow sh*t up., Undisclosed 
Berman Group,/profile/berman-group,"Think Smart, Talk Smart"," $100 - $149 / hr
"
PR Revolution,/profile/pr-revolution,Public Relations Agency serving in NJ & NY, Undisclosed 
Pure Communications,/profile/pure-communications,Make your communications Pure," $100 - $149 / hr
"
